Workload Size (i*j*k),Turnaround Time in Nanoseconds
66545193,47834012
515017728,129996813
10878000,13047897
51541740,36849052
240541245,143105192
26405840,15091275
268797816,67398500
6534800,14050042
291895695,85813242
207758628,46755026
45767904,34796699
69368832,33658877
99485022,49919651
15559362,14047520
151457040,52239722
112698950,56513106
393630050,96294582
16380144,64036367
37808100,45411080
102165945,40042351
123931038,58223252
95820384,40063747
215695220,64223670
11214379,9718770
2383458,31460535
110271525,62143983
272989106,79167893
254115576,74095044
122617080,77142876
21812263,9748055
3800380,5363811
30181848,10928837
63554920,29335938
251719846,75101927
217369031,59104397
17027892,13064914
31007886,16319635
135888480,43369114
239160600,70553042
21483072,16256100
22767899,32580192
310068,23874086
71408250,45679593
4875816,22829362
9865750,32664609
16456536,23996852
3490080,39186205
8044288,6580386
93243436,24955373
246045184,65230507
180738547,77480771
348197500,84702443
227099180,50065543
9683500,45691635
7076004,16256472
258798900,56568524
49494900,68460247
8500140,15177281
19794240,44580085
34924149,11860881
8852102,28326221
92900680,19489285
441502620,128455023
44060445,13774501
24978240,37558298
315288000,93563988
174649326,69637653
5239200,10823345
361363275,96532089
171821520,71759639
58930000,24865174
24394032,20553443
96469428,34702910
9021336,7591967
40103876,22839822
138735627,71536964
8541855,9799568
100341420,22827427
349545350,91415510
56775264,52051581
11994024,16274132
1253070,3277306
341720960,92144726
33511478,51100069
326421900,101921613
500696784,114185238
46066500,18412267
154958832,56359670
118286178,43461690
38336088,31506494
408945768,91916795
43571440,17336883
204421740,78434241
635812264,132381425
665292600,140832990
15369564,28887732
91035840,58720845
47839616,51750351
340992,3178830
31354596,11866090
258489363,91807364
121990174,59678739
17193600,12988542
116107248,37922290
8252200,31489574
137697000,53901878
7638300,6474405
8267666,14192958
37577800,13911156
32189696,16236012
6477728,7595074
10296286,10822109
34940768,21607759
2608320,5292895
19687380,11889537
104342988,39872594
86498370,45582310
61675152,39352111
317901672,85643982
132190200,35193378
160954640,67303951
203814450,67853640
4942992,9553671
192397076,57740819
2624440,6322699
38781786,14107967
86843640,18440476
134979240,51822476
28958656,11835129
348468750,79459611
3583305,11956195
14140284,15166063
26745771,27000996
271196125,85366038
28558082,11602800
8254746,5272528
114889216,34690517
269392032,71604311
356671238,68688899
55686105,32445513
53537341,40165913
7288512,7409101
80432016,40880686
317102520,81408183
159325632,64793776
29729770,23437160
190897536,45452302
204087312,46607693
49875000,24817958
45508491,32503815
218950680,59795405
28056928,16196786
216322068,54268019
32656500,26999618
347612802,91079032
11120928,12973181
241757698,56270853
296340,4233592
390676330,87239104
269468,2182037
300321000,98983336
43371328,14058632
53835056,58788559
390141440,75897177
50556288,31411208
156787488,35629918
271319400,61157865
50780808,14089844
108346056,31060131
5030060,19455789
367413792,92567409
9289720,37894911
101923900,27007350
1020408,4293307
78791328,41253748
67519608,46393246
114142928,55251919
60522,4372990
147342216,56458885
136285224,92453356
195515176,89180384
671879376,120331079
17440328,42693824
308682816,80318466
23835760,25388889
238600320,56980804
1399680,3225766
460573008,102493575
64005552,71295662
85085040,22260824
8649192,6442026
707655804,116795158
195953802,53594709
251401208,83822083
132215160,35697936
66517734,28204317
32626800,59576038
37543506,60770560
67302738,50845502
218690626,59095149
238107528,86385694
80678988,48252402
418834185,106388681
79472300,90388728
28751040,31055036
71902080,35684825
7836192,7416463
175626845,52007206
45687000,21700490
149342709,71553861
485064480,91007438
7518528,14151571
164395440,52051201
615706,5445804
223201440,62004724
5961475,8584629
413345190,106780155
19914510,9684940
80516975,26050825
139205436,35934734
21658708,32260007
2809220,4327445
289500759,92602406
428808996,81040466
266881363,64161313
3633448,5295342
6405858,25524942
9896740,7653508
300618,3243832
222403360,85867934
89391060,42905533
259924689,52290808
19560442,26748511
21810726,21723312
102601740,27064190
544527360,125006804
8424150,42281583
20853126,26148118
292025664,52103257
94358880,28148459
36737104,45469762
396300168,87840614
155040900,69509173
32733272,57341392
5460700,16352876
217710,3283952
11440395,10860734
71906142,29148231
131834560,58220838
31870728,29111217
3595788,8655221
179086194,45683646
128118600,42825943
8151000,29347231
5200,1096183
233189946,60546527
123616800,35771593
689893470,134164994
11350724,13062254
19571634,30372077
68138720,25332540
44684020,12741912
290829700,101991777
76080444,26029709
45750480,23882611
94134975,39030021
15372854,31426590
55430874,18007366
9174738,14172284
105525666,35847988
85207800,32862090
17850140,13708090
133852440,47831401
255304,2115901
538843368,93184132
26394948,21816511
11381380,7526131
253012404,85490868
116890560,29645377
87003400,27504475
323734257,77176485
33294222,11917949
50950026,17302390
121516560,25871921
434624715,88552090
357471660,77001468
11848680,37619170
34652086,15108143
101695500,67099630
173530188,50858973
13646016,9714008
205474100,78069768
33143712,22693750
160931888,56642465
168380784,49993070
24383772,25006452
643888392,127091112
213736320,62749041
383471488,99912034
450688,3274763
10558275,39425708
47987376,50651305
29028989,27267030
232520860,77708679
99975480,86806750
99116460,78650576
24669360,13039878
177423424,51793321
295015500,72166477
8922576,10741835
117880758,50496100
42934595,51028367
2310084,4332627
327041454,89920278
196671132,57343145
56336144,44645855
75763968,65366759
173192448,84815117
69986370,41253458
122500980,54812178
54797960,65423183
22171776,10777371
100028544,46729695
507584810,104487135
103243516,45714098
8350272,8674740
240000768,71494945
43406085,27209892
9736920,7426433
126904915,57995610
24806280,19771782
22750560,13022167
1239840,20419187
14066250,22844473
102858868,69941935
37988280,23822858
36495200,30046012
10233,2111829
24724288,10664133
140763762,75154588
153701640,91156483
10232280,28257834
26323500,15975561
208292436,66141002
37881060,26839889
27090000,21916369
38960260,32284914
163062900,56101767
11919600,1309192
253885320,1067837
46478610,17320230
2925300,10591682
84076425,46316694
18579232,17407559
23190840,51287754
11533860,7435122
134269485,54256006
14757984,17090387
94390800,40840665
76201176,36941111
9729423,18426822
38023975,35703734
348231930,91132513
99603480,48096249
265154490,80069492
80589792,36263202
75605125,22247440
113092300,47653482
196517685,59643247
408707442,87268963
33158160,17372540
25256088,23859589
387626080,75472462
26107704,9515864
58746260,38092859
50743560,48508143
76231260,39055028
181785472,68309478
12275900,22823178
164897152,42382836
374169600,83506187
423060,3241797
15360030,53352086
92724408,31516910
46665216,13871940
749800734,173099843
279498600,74968604
243384965,61869551
53034320,35503323
10864100,11610767
37574400,23789663
205648704,84079910
386869710,79584217
18423816,29051197
379855200,101606319
471449160,80980229
3289086,4321852
8106700,7599123
404761500,112938915
809135328,127126660
19006944,44453960
26038000,11962370
4274858,8670594
236841282,105427022
21104720,60703616
76668228,21682509
1597248,3208211
96767874,39591021
1726452,4317751
291457285,106797788
236215657,81063438
71762240,59789685
87391848,27151995
80542980,43911039
164176005,48128569
74757900,18345488
4543980,11838535
66273072,52812919
24515544,25953774
109270430,72849050
3221127,5379138
52412580,42278050
74296992,28108417
28087500,24989580
104022468,44391957
28949920,9740923
187724240,33547685
194635112,67486407
169164450,71392819
29168100,38025233
168478020,50946679
60879168,48911641
82482944,19419137
8755560,6524302
19114335,9634233
148539888,32771103
148393532,38202119
3492874,7388049
55298376,42736901
56657880,19304250
25853100,30549472
126557109,42911820
172380,2155549
10825386,17200883
76624416,20680469
21318570,16245021
311868216,76996178
150482788,43276704
47751906,23789426
72666720,33556766
658627200,108560660
50245224,73760415
155771770,47498387
226461571,84303917
14522200,16992829
30206808,27998479
134991360,40083120
112987224,43844479
65188344,31106376
100961640,55405440
354715200,61585310
194906496,70521393
191394765,57549063
19969200,18013302
25038576,22826224
99304191,62885171
124921440,83081929
233126712,58718028
27885312,11600635
25693203,30490703
84904768,48624356
54709724,29260216
508267500,110830142
56100,2265829
129115620,52147704
471828,6620575
130606190,29296390
324213120,82533773
187695645,57591134
23153016,14136849
40653120,46749634
1219196,10748105
137024928,52056100
1670746,10848412
466116420,101432023
271610388,54977170
101607402,36996130
253760118,79417268
54685400,31233827
14594580,12039464
67757118,18460947
1268663,4331065
9354240,6488506
2206974,7611778
21031920,14897596
246083670,103164003
7312838,6520022
312039000,73904193
66247875,45523836
725200,10842562
1801280,16275013
133961274,54274045
125084960,52812019
11294640,11903742
222088986,42191351
51841500,19552893
350599144,71577869
148876715,46703417
449097600,118540795
3323175,27105468
131778270,31353021
31190400,36817489
6436288,6508484
5866560,23793270
29643840,16977623
135319212,45417786
45246600,37958725
30190440,32657512
109080,2158692
27268033,18416345
88554060,21715932
15925248,16264398
27153620,9819781
25046448,31306928
152938800,78196252
36834840,52106645
37191,3273373
85746000,52143955
15275520,11907831
45327744,47729576
148002192,45515377
221146281,88099848
4905684,12976422
188837406,57596912
228900,7622446
169566375,75010467
136363392,52908901
93957500,46621271
35680176,40216790
463111200,97546434
1351196,3239125
200131074,61964170
436038498,93873872
139775034,45624358
234825600,76959030
61100535,60794014
313105856,57060324
23899356,19391786
8802240,41769961
348785430,94520540
195584016,64868914
191054745,57443612
132113970,51776313
165732158,39140571
133596041,46481318
19815390,8732739
4043280,5419860
53214304,14103887
192336417,47544867
4417740,4323467
176837541,44525502
33418620,15200174
34754160,31626231
191945130,45521042
29326275,13059349
5227212,9774615
140996840,30435467
147428352,50871593
5511792,8524669
111040710,80405953
1141703,6510705
133874375,48666142
11218280,16157361
36936000,16259681
845680,4260905
303116912,74768080
94889184,37017970
370787508,100422626
97987626,27160874
387477699,84478472
29474730,29375375
350102088,97574165
186892272,58465910
76226820,34673010
26807064,27100298
613360,3240839
146699161,76251622
580656048,150716163
1401600,3174533
603480780,106200354
617472,7646414
112936950,44563500
65563200,30431895
505822584,100966030
20269956,38743264
348304827,123911629
41935784,21764976
62180960,27061569
806921248,147786487
225188760,83685100
57575700,40167719
50087100,53253818
202850732,59204285
263146590,60830341
3720864,6460726
3284100,8677137
41375620,29302590
13487682,30396982
166852718,57594308
30668820,45508199
63719784,63835504
228313176,42243129
54502092,56505670
631562470,119918630
23096128,37805332
39239716,32327515
28894932,16259686
58347366,21703139
128455095,71623857
284858070,48886656
82857240,42358537
126702792,50950558
327895308,90965543
37914960,21568800
28374600,12684296
121630423,48625641
1361360,3277521
42202160,35884518
225967196,58488344
151247448,50825776
2093364,4298688
86106730,36934061
165161568,31403681
17066816,16285824
39634218,49410277
60304802,16270144
166655232,54317836
93387294,26981642
15950625,21318821
106333500,59547105
71777664,39170857
26305422,47883051
494093952,98660120
250605810,92455106
161724600,70676273
200454750,52083259
127938096,49627987
182368168,67330746
16072080,7701582
43828128,16227672
17372264,29259556
13057200,13738535
139513500,47634204
106356195,29306491
145353936,110596531
355943280,81343110
84240000,31455441
92307952,44492803
189135408,73097413
99487080,98738041
26600325,32359156
29907690,12925369
2165856,5369057
198480,7410750
100205568,28216969
314822565,130631847
22840740,18458116
16416400,17272253
6633472,7528708
20548320,43415073
83944170,35777502
11965650,26509647
2353392,13071995
10465000,11620448
12208581,9724646
55692,2263408
245724468,101154045
43691931,33623104
449046528,120549629
34419840,40108163
207680,3284846
41368288,37934615
62120905,27173483
21429150,26909153
389240388,107557693
230029884,58631154
49936656,56452616
238398300,60825969
5821760,15871597
128950248,48789433
34837110,11787843
30507750,11893422
48952350,21682192
28288680,19496676
387133056,83684164
68101020,44482869
6873363,7586679
4599936,10713096
195418080,44539260
55506220,19450413
24344187,29220138
19553520,21822778
4665650,17366533
19329466,30438177
41566734,23262341
63433392,38880275
86940840,32624901
136777784,35576944
27756768,31703907
22082048,18413002
253492816,73791478
216278160,58674308
69372396,40428646
28526140,32523347
176137544,63809756
180011,14190921
113699520,36771202
7052000,8601600
5640000,5380832
161127750,49485744
216033480,56055633
131771178,70543004
51017694,21669751
135810535,73061200
19540480,35918178
24444000,12979829
334209630,54198452
135527400,47894993
240287040,156481644
145500328,58672030
224512708,62825942
86283120,21669018
1594670,11968476
369085830,83310087
274928004,72670934
54387894,44523155
33166140,30428187
99475640,54260812
35982072,11950737
2967926,4331679
15456952,7531583
185406720,77238527
220648032,73039930
30414720,10777164
77047200,24990445
3949400,28172066
236887200,87368095
32397400,28285414
92411400,26053648
74862117,32573924
253446200,52972007
167805000,43301238
33825600,36923981
70864497,40032029
12599906,28245805
160210336,48790187
24054048,16244900
39981909,32100593
77582016,28298182
22129956,17292841
2664310,4331110
165605580,49876970
93867012,26030638
80800,2253245
238885150,74581185
15285248,8663950
7274520,6520597
15076230,16263181
10378336,17454178
114794820,37979649
54857300,29340970
53773308,47794064
70634850,33892793
168433416,40996275
2714130,5453811
390782910,97477360
17315808,31446336
35319900,31505697
599358123,105105026
132727992,70583962
310003050,60685138
6254820,6477129
141224967,69469503
48557184,29279424
11260015,8633456
320935344,82409657
24371760,18571089
46214064,17246226
26992800,53181954
155360220,64138076
25408999,21677554
29783298,67899905
21013536,67092903
112362957,47763832
122990400,32472479
59150440,59044438
170992080,49821876
80371760,42351652
60041527,20614995
102079824,51852833
388608,3220144
130662000,42231909
32502708,70680855
130678008,75102288
88821900,29314120
57087484,41256792
198593888,47678433
32222400,24982615
111071412,40975473
389529400,82279952
28473120,56226707
215212248,66150419
3362418,16354259
1783800,7469637
73040058,49688221
88098166,39035034
90883188,31285692
64227850,56247696
228957120,80426212
382598424,103309614
120340372,52275179
122564190,57187273
137555000,35786960
7896000,15214326
36667600,36911975
478958712,111805846
21103560,15231972
1607760,9780860
185099200,73157955
33893640,11936914
341853876,91080837
105959040,41320700
32677722,31449721
12191310,16294854
135159750,40093053
89589500,24953451
28581240,20611811
3872960,7599732
9110745,14103850
1333836,4259273
3323670,5425306
10005360,7570752
2484720,11853663
108581550,38071349
202608945,46755475
367301115,79099129
13081464,7615942
63971050,17359450
339736572,67583294
258264,2108366
82276458,39084856
26886825,35808711
448375928,103839348
228878892,69565043
421118880,82566253
31200000,12882456
42650280,11862486
42230760,33643040
18748800,8640332
45598420,50688459
31657696,18369747
67655772,47695809
231365112,73193001
2469894,31560312
25220448,24974931
21924000,11825224
69827310,26139892
44835936,13050365
77617280,18487643
75827360,21751962
93401910,27054809
7380930,7626971
275619708,81493547
337319640,52124328
35412828,21536453
136280144,43305724
123930833,32485634
306292480,107201197
16880580,70514317
52278291,36600671
54231951,23832080
12467840,13062758
10910592,25045969
413074496,71764009
190797880,71624263
535116395,106111997
40428250,24890929
208202400,87690105
173869920,56488484
55021032,32586017
178705580,41289695
347018640,85731093
192689952,55366229
2055744,5380160
277704480,62958151
3564400,4293192
103391616,45652664
23464728,15223254
2920764,8660913
212528832,75057328
35456800,27173462
42854152,31598556
90266544,30304102
514526922,163768916
16921226,14173877
95525248,29277482
51313920,36902893
12236868,55372843
43503667,24960870
169751040,88486478
32504199,11920820
9393600,12961311
120677050,36984504
85666112,18388265
527337560,127723233
386511510,73896562
68628420,30170996
37158760,36880598
259515999,51793941
36750240,32576377
25492500,18063248
170351181,56356776
131475750,29220011
59361390,31394760
74243193,30232999
32927580,11939360
3198672,17326022
54128430,31456845
229674060,74212769
13406016,8502647
250534000,45388424
30738400,28001334
80641260,23785466
24958773,32395090
22461998,22751111
386507880,84400050
129822550,50526253
171756750,73064915
74729714,43303005
63950796,19030972
10978240,6479315
28862164,36855286
299824544,77717553
10765998,9854564
29912456,17407356
24766280,16218555
418048272,99859407
69571920,57511498
38037076,40064911
192837270,69237133
5597094,8724968
64286400,34761146
27052704,9641558
148107400,52127676
5843070,5438959
193722480,61811972
14814800,12955376
490557941,92235899
43261764,18442961
21373000,11929591
3937353,5432492
62713680,21735994
113195880,32514061
41581464,22809485
5259032,6508361
51148320,29259268
102580920,45490681
283298925,84996177
120931200,60567433
148692336,56504048
178251696,69476142
81085100,29293027
36738720,15068370
9106160,6477151
1701260,5495000
229924845,58115368
16955796,7525387
27094551,10896209
101855268,43579668
79261312,42278735
9759312,14158756
95056080,70595366
113017320,33713533
26974464,17444898
31641984,22730215
909069,6548756
173242000,95392074
167751760,55412459
37269420,29287216
239584956,99954383
11662272,12963790
37567152,15170546
272952180,82349470
11139480,7510965
12965688,36551067
210877128,59667909
132221968,44189170
208805850,82268112
281510912,77028383
5332999,6599071
